id,observed_on,time_observed_at,user_id,user_name,quality_grade,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy,place_town_name,place_county_name,species_guess,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,ward_name,name_en
44195481,2003-09-29,2003-09-29 04:31:00 UTC,7943,Vijay Barve,research,3,0,13.1234103,77.5484158,198,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,
44683074,2003-09-24,2003-09-24 08:25:00 UTC,7943,Vijay Barve,research,3,0,13.1234103,77.5484158,41,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,
46824774,2014-01-06,2014-01-06 06:12:00 UTC,13193,Rohit,research,3,0,13.041394469,77.562821177,2558,,Bangalore,Indian Honey Bee,Apis cerana indica,Indian Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis cerana,,Apis cerana indica,,,,Radhakrishna Temple Ward
46824775,2014-01-04,,13193,Rohit,needs_id,3,0,13.041394469,77.562821177,2558,,Bangalore,"Leafcutter, Mortar, and Resin Bees",Megachile,"Leafcutter, Mortar, and Resin Bees",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,,,,,,,,Radhakrishna Temple Ward
52765526,2014-07-13,2014-07-13 05:55:54 UTC,3301493,Sriram Ranganathan,research,3,0,12.8160487422,77.6793811843,4208,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,
53239640,2014-05-26,2014-05-26 09:16:22 UTC,3301493,Sriram Ranganathan,research,2,0,12.8160487422,77.6793811843,4208,,Bangalore,Indian Honey Bee,Apis cerana indica,Indian Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis cerana,,Apis cerana indica,,,,
53250928,2013-08-04,2013-08-04 06:36:00 UTC,3301493,Sriram Ranganathan,needs_id,2,0,12.8159214,77.6793813,2678,,Bangalore,Lasioglossum,Lasioglossum,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Halictidae,Halictinae,,Halictini,Halictina,Lasioglossum,,,,,,,,
53254181,2014-05-11,2014-05-11 03:49:00 UTC,3301493,Sriram Ranganathan,needs_id,3,0,12.8159214,77.6793813,2678,,Bangalore,Zonamegilla,Zonamegilla,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Amegilla,,,,,,,,
53260342,2006-08-12,2006-08-12 07:05:00 UTC,3301493,Sriram Ranganathan,research,3,0,12.9507432,77.5847773,1390,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
66514945,2014-09-14,2014-09-14 03:47:00 UTC,748483,Prashanth,research,4,0,12.9488251863,77.5867371629,32,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
75005670,2015-01-07,2015-01-08 03:13:00 UTC,7943,Vijay Barve,needs_id,0,0,13.1231780779,77.5511430924,31,,Bangalore,Mud-dauber Wasps and Allies,Sceliphrinae,Mud-dauber Wasps and Allies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sceliphrinae,,,,,,,,,,,,
80978342,2015-01-18,2015-01-19 03:35:00 UTC,7943,Vijay Barve,research,2,0,13.1229623028,77.5509200563,2,,Bangalore,Sceliphron madraspatanum,Sceliphron madraspatanum,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sceliphrinae,,Sceliphrini,,Sceliphron,,Sceliphron madraspatanum,,,,,,
82795360,2015-01-23,2015-01-24 03:56:00 UTC,7943,Vijay Barve,research,5,0,13.1257034555,77.5470429088,2,,Bangalore,Honey Bees,Apis,Honey Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,,,,,,,
94301526,2015-05-16,2015-05-16 03:35:00 UTC,1630921,Karan Matalia,research,3,0,12.9501510637,77.5863622502,252,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
169532760,2013-01-19,2013-01-19 07:07:00 UTC,2468551,Chandu Bandi,research,1,0,12.950743,77.584777,15,,Bangalore,Emerald Cockroach Wasp,Ampulex compressa,Emerald Cockroach Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Ampulicidae,Ampulicinae,,Ampulicini,,Ampulex,,Ampulex compressa,,,,,,Vishveshwara Puram
204370792,2014-08-16,2014-08-16 07:16:00 UTC,5357051,Surendra Rajendran,research,1,0,12.9495624353,77.5845805919,31,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
209632606,2015-03-21,2015-03-21 07:13:00 UTC,4881043,Bhargav A P,needs_id,0,0,12.89304781,77.5515126484,658,,Bangalore,Large Carpenter Bees,Xylocopa,Large Carpenter Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,,,,,,,Vasanthpura
252300270,2012-10-27,2012-10-27 11:27:00 UTC,8776286,Aditya Parameshwara,needs_id,0,0,13.0657706,77.5678815,202,,Bangalore,Windowed Carpenter,Xylocopa fenestrata,Windowed Carpenter,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa fenestrata,,,,,,Byatarayanapura
252320657,2015-01-14,2015-01-14 16:50:00 UTC,8776286,Aditya Parameshwara,research,3,0,13.0657706,77.5678815,202,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Byatarayanapura
252409761,2015-11-22,2015-11-22 04:36:00 UTC,8776286,Aditya Parameshwara,research,3,0,12.8502542,77.6640689,213,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,
319728482,2005-04-04,2005-04-04 02:27:00 UTC,9483455,Rakesh Dhareshwar,research,2,0,13.0455257927,77.5834973427,4,,Bangalore,Slender-scaped Carpenter Bee,Xylocopa tenuiscapa,Slender-scaped Carpenter Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa tenuiscapa,,,,,,Hebbal Kempapura
2730908,2016-02-29,2016-02-29 12:01:07 UTC,182759,,research,4,0,12.939379303,77.5772976388,65,,Bangalore,Honey Bees,Apis,Honey Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,,,,,,,Yediyur
2745539,2016-02-20,2016-02-20 16:50:07 UTC,12158,Erika Mitchell,needs_id,6,0,13.02209,77.5709966667,,,Bangalore,Striped Sweat Bees,Pithitis,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Ceratinini,,Ceratina,,,,,,,,Aramane Nagara
2745541,2016-02-20,2016-02-20 16:51:06 UTC,12158,Erika Mitchell,needs_id,3,0,13.022295,77.5709983333,,,Bangalore,Carpenter Bees,Xylocopa,Large Carpenter Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,,,,,,,Aramane Nagara
2745548,2016-02-21,2016-02-21 16:47:03 UTC,12158,Erika Mitchell,research,3,0,12.8009016667,77.575735,,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,
2745553,2016-02-22,2016-02-22 15:49:12 UTC,12158,Erika Mitchell,research,3,0,12.94739,77.581275,,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
2745554,2016-02-22,2016-02-22 15:49:22 UTC,12158,Erika Mitchell,research,3,0,12.9473883333,77.581275,,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
2745557,2016-02-22,2016-02-22 16:34:19 UTC,12158,Erika Mitchell,research,6,0,12.9441566667,77.5812133333,,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
2745565,2016-02-22,2016-02-22 17:51:24 UTC,12158,Erika Mitchell,research,6,0,12.94793,77.582265,,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Vishveshwara Puram
4705139,2016-12-04,2016-12-04 10:11:52 UTC,342643,Firos AK,research,4,0,12.9902861227,77.6636359468,1376,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,C V Raman Nagar
14863049,2016-11-12,2016-11-12 07:01:53 UTC,1097231,Rajesh Balakrishnan,research,2,0,12.9891511789,77.6625382528,33,"CV Raman Nagar, Bangalore",Bangalore,Golden-winged Bamboo-Carpenter,Xylocopa auripennis,Golden-winged Bamboo-Carpenter,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa auripennis,,,,,,C V Raman Nagar
34054664,2016-10-13,2016-10-13 09:22:00 UTC,862610,Hareesha A S,needs_id,2,0,13.0814730501,77.5766466713,909,,Bangalore,Chalybion,Chalybion,Blue Mud-dauber Wasps,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sceliphrinae,,Sceliphrini,,Chalybion,,,,,,,,Byatarayanapura
34055241,2016-10-10,2016-10-10 12:22:00 UTC,862610,Hareesha A S,needs_id,2,0,13.0797665034,77.5777622276,909,,Bangalore,"Leafcutter, Mortar, and Resin Bees",Megachile,"Leafcutter, Mortar, and Resin Bees",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,,,,,,,,Byatarayanapura
69496396,2016-12-11,2016-12-10 18:35:38 UTC,3194889,,needs_id,1,0,12.8690977382,77.5666428284,38532,,Bangalore,Trypoxylon,Trypoxylon,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Crabroninae,,Trypoxylini,,Trypoxylon,,,,,,,,Anjanapura
82830347,2016-06-03,2016-06-03 07:34:00 UTC,4459882,Praveen T,needs_id,2,0,12.9690232,77.6898133,205,,Bangalore,Aethomegachile,Aethomegachile,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Megachilidae,Megachilinae,,Megachilini,,Megachile,,,,,,,,Dodda Nekkundi
87827125,2016-08-25,2016-08-25 06:27:00 UTC,4459882,Praveen T,research,3,0,12.9632757223,77.6936850787,206,,Bangalore,Indian Honey Bee,Apis cerana indica,Indian Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis cerana,,Apis cerana indica,,,,Dodda Nekkundi
89040558,2016-10-22,2016-10-22 09:06:45 UTC,1368715,Ranjeet Menon,needs_id,3,0,13.0142866496,77.6833236963,209,,Bangalore,Zonamegilla,Zonamegilla,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Anthophorini,,Amegilla,,,,,,,,Kalkere
139538973,2016-07-16,2016-07-16 07:30:29 UTC,1368715,Ranjeet Menon,research,2,0,13.0142866496,77.6833236963,208,,Bangalore,Yellow-headed Carpenter,Xylocopa ruficornis,Yellow-headed Carpenter,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa ruficornis,,,,,,Kalkere
139539360,2016-06-26,2016-06-26 08:59:48 UTC,1368715,Ranjeet Menon,research,3,0,13.0142866496,77.6833236963,208,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Kalkere
298063854,2016-09-11,2016-09-11 07:55:55 UTC,337978,Karthik Thrikkadeeri,needs_id,0,0,12.9494154056,77.5846804306,1493,,Bangalore,Bees,Anthophila,Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,,,,,,,,,,,,,,Vishveshwara Puram
298064812,2016-09-16,2016-09-16 10:14:10 UTC,337978,Karthik Thrikkadeeri,needs_id,0,0,12.9336430359,77.6043004543,350,,Bangalore,Bees,Anthophila,Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,,,,,,,,,,,,,,Suddagunte Palya
7725447,2017-08-31,2017-08-31 13:48:18 UTC,299389,Arjun C.P.,research,3,0,13.029419899,77.5628356934,,,Bangalore,Slender-scaped Carpenter Bee,Xylocopa tenuiscapa,Slender-scaped Carpenter Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa tenuiscapa,,,,,,Aramane Nagara
7862433,2017-05-20,,258303,Subbu Ramanathan,research,2,0,12.882994,77.528007,129,,Bangalore,Koptortosoma,Koptortosoma,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,,,,,,,Hemmigepura
7978289,2017-09-09,,258303,Subbu Ramanathan,research,1,0,12.881948,77.528222,,,Bangalore,Indian Honey Bee,Apis cerana indica,Indian Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis cerana,,Apis cerana indica,,,,Hemmigepura
7996295,2017-07-15,,258303,Subbu Ramanathan,research,4,1,12.882826,77.526119,129,,Bangalore,Indian Honey Bee,Apis cerana indica,Indian Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis cerana,,Apis cerana indica,,,,Hemmigepura
9609259,2017-10-19,2017-10-19 12:32:06 UTC,747888,Arkesh Shenoy,research,2,0,12.9224014282,77.6584472656,,,Bangalore,Sceliphron madraspatanum,Sceliphron madraspatanum,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sceliphrinae,,Sceliphrini,,Sceliphron,,Sceliphron madraspatanum,,,,,,Agaram
29302858,2017-09-06,2017-09-06 05:43:00 UTC,1994084,Subhadra Devi,research,6,0,13.0577649495,77.6400098,31,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Horamavu
34052961,2017-11-10,2017-11-10 02:50:00 UTC,862610,Hareesha A S,research,3,0,13.0819401517,77.5755306401,946,,Bangalore,Indian Honey Bee,Apis cerana indica,Indian Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis cerana,,Apis cerana indica,,,,Byatarayanapura
34052972,2017-11-09,2017-11-09 09:00:00 UTC,862610,Hareesha A S,needs_id,4,0,13.0819401517,77.5755306401,946,,Bangalore,Large Carpenter Bees,Xylocopa,Large Carpenter Bees,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,,,,,,,Byatarayanapura
34052975,2017-11-09,2017-11-09 09:00:00 UTC,862610,Hareesha A S,research,4,0,13.0819401517,77.5755306401,946,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Byatarayanapura
34052978,2017-11-10,2017-11-10 02:51:00 UTC,862610,Hareesha A S,research,4,0,13.0819401517,77.5755306401,946,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Byatarayanapura
34052988,2017-11-10,2017-11-10 02:52:00 UTC,862610,Hareesha A S,research,4,0,13.0819401517,77.5755306401,946,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Byatarayanapura
34055148,2017-10-13,2017-10-13 11:54:00 UTC,862610,Hareesha A S,research,2,0,13.0797665034,77.5777622276,909,,Bangalore,Slender-scaped Carpenter Bee,Xylocopa tenuiscapa,Slender-scaped Carpenter Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa tenuiscapa,,,,,,Byatarayanapura
34055161,2017-08-14,2017-08-14 12:10:00 UTC,862610,Hareesha A S,needs_id,3,1,13.0797665034,77.5777622276,909,,Bangalore,Ammophilinae,Ammophilinae,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Ammophilinae,,,,,,,,,,,,Byatarayanapura
34055184,2017-08-14,2017-08-14 12:19:00 UTC,862610,Hareesha A S,research,2,0,13.0797665034,77.5777622276,909,,Bangalore,Isodontia edax,Isodontia edax,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Sphecinae,,Sphecini,,Isodontia,,Isodontia edax,,,,,,Byatarayanapura
34055249,2017-09-01,2017-09-01 12:14:00 UTC,862610,Hareesha A S,research,2,0,13.0797665034,77.5777622276,909,,Bangalore,Slender-scaped Carpenter Bee,Xylocopa tenuiscapa,Slender-scaped Carpenter Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa tenuiscapa,,,,,,Byatarayanapura
34055251,2017-07-11,2017-07-11 04:02:00 UTC,862610,Hareesha A S,needs_id,1,0,13.0797665034,77.5777622276,909,,Bangalore,Tetragonula,Tetragonula,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Meliponini,,Tetragonula,,,,,,,,Byatarayanapura
34057125,2017-09-19,2017-09-19 11:45:00 UTC,862610,Hareesha A S,research,3,0,13.0790139643,77.5766464392,778,,Bangalore,Yellow-headed Carpenter,Xylocopa ruficornis,Yellow-headed Carpenter,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Xylocopinae,,Xylocopini,,Xylocopa,,Xylocopa ruficornis,,,,,,Byatarayanapura
34057126,2017-06-18,2017-06-18 08:16:00 UTC,862610,Hareesha A S,needs_id,3,1,13.0790139643,77.5766464392,778,,Bangalore,Thread-waisted Sand Wasps,Ammophila,Thread-waisted Sand Wasps,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Sphecidae,Ammophilinae,,Ammophilini,,Ammophila,,,,,,,,Byatarayanapura
34057188,2017-11-10,2017-11-10 03:07:00 UTC,862610,Hareesha A S,research,4,0,13.0790139643,77.5766464392,778,,Bangalore,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Apini,,Apis,,Apis dorsata,,,,,,Byatarayanapura
